SUIT_1,RANK_1,SUIT_2,RANK_2,SUIT_3,RANK_3,SUIT_4,RANK_4,SUIT_5,RANK_5,Figura
corazones,7,picas,J,corazones,6,diamantes,6,corazones,J,doble_pareja
picas,J,diamantes,9,picas,Q,corazones,6,diamantes,8,no_hay_figura
picas,J,treboles,8,treboles,K,diamantes,4,picas,7,no_hay_figura
diamantes,7,treboles,1,treboles,Q,diamantes,9,picas,4,no_hay_figura
corazones,5,treboles,4,diamantes,J,picas,J,corazones,8,pareja
picas,J,picas,Q,treboles,J,treboles,7,diamantes,K,pareja
treboles,1,picas,3,corazones,7,picas,7,diamantes,K,pareja
diamantes,7,corazones,2,corazones,9,diamantes,5,diamantes,1,no_hay_figura
treboles,J,treboles,7,treboles,3,treboles,10,picas,5,no_hay_figura
diamantes,6,picas,5,corazones,Q,treboles,2,treboles,J,no_hay_figura
picas,8,corazones,7,diamantes,6,corazones,10,diamantes,J,no_hay_figura
picas,10,diamantes,J,corazones,8,treboles,2,treboles,J,pareja
picas,J,corazones,1,diamantes,4,diamantes,9,picas,5,no_hay_figura
corazones,4,treboles,8,treboles,4,picas,7,diamantes,4,trio
corazones,J,picas,1,diamantes,4,diamantes,K,treboles,5,no_hay_figura
corazones,6,corazones,5,treboles,2,treboles,J,picas,Q,no_hay_figura
picas,5,treboles,7,picas,Q,corazones,5,picas,3,pareja
corazones,10,picas,7,diamantes,8,diamantes,K,treboles,1,no_hay_figura
picas,6,treboles,4,corazones,7,corazones,4,treboles,10,pareja
picas,K,diamantes,J,diamantes,2,treboles,2,diamantes,6,pareja
diamantes,2,picas,9,treboles,8,diamantes,6,treboles,K,no_hay_figura
treboles,9,picas,3,treboles,5,corazones,2,picas,J,no_hay_figura
picas,7,picas,K,corazones,8,diamantes,4,corazones,Q,no_hay_figura
corazones,2,corazones,10,treboles,10,corazones,6,treboles,6,doble_pareja
diamantes,9,corazones,5,picas,10,picas,1,picas,2,no_hay_figura
treboles,9,corazones,9,corazones,6,picas,3,corazones,J,pareja
picas,J,picas,2,diamantes,10,treboles,4,picas,K,no_hay_figura
treboles,Q,picas,5,picas,9,corazones,1,picas,7,no_hay_figura
diamantes,J,picas,1,treboles,9,diamantes,6,corazones,5,no_hay_figura
diamantes,Q,picas,10,picas,1,treboles,4,picas,6,no_hay_figura
diamantes,J,diamantes,K,diamantes,1,diamantes,Q,diamantes,9,color
treboles,8,diamantes,Q,treboles,J,corazones,9,diamantes,6,no_hay_figura
diamantes,9,diamantes,2,diamantes,1,treboles,7,treboles,K,no_hay_figura
picas,3,picas,6,corazones,1,picas,4,treboles,5,no_hay_figura
corazones,8,treboles,2,picas,6,picas,4,picas,K,no_hay_figura
diamantes,1,treboles,9,corazones,K,picas,Q,treboles,J,no_hay_figura
diamantes,Q,picas,7,treboles,7,corazones,6,treboles,3,pareja
treboles,1,diamantes,7,treboles,3,treboles,10,picas,8,no_hay_figura
picas,5,treboles,4,diamantes,9,treboles,3,corazones,7,no_hay_figura
picas,10,corazones,2,treboles,6,treboles,9,diamantes,J,no_hay_figura
corazones,1,corazones,7,treboles,Q,picas,2,corazones,5,no_hay_figura
picas,4,diamantes,Q,diamantes,7,treboles,5,corazones,10,no_hay_figura
corazones,1,picas,10,diamantes,8,diamantes,J,treboles,K,no_hay_figura
treboles,Q,picas,4,picas,5,corazones,1,treboles,5,pareja
corazones,3,treboles,4,picas,5,corazones,10,picas,10,pareja
picas,8,treboles,9,diamantes,3,treboles,8,treboles,3,doble_pareja
picas,5,treboles,3,treboles,8,treboles,J,diamantes,J,pareja
treboles,K,picas,8,corazones,Q,corazones,6,corazones,J,no_hay_figura
treboles,6,diamantes,Q,corazones,8,treboles,J,corazones,4,no_hay_figura
treboles,2,corazones,2,picas,9,treboles,10,corazones,9,doble_pareja
treboles,8,picas,9,diamantes,2,corazones,9,treboles,7,pareja
picas,3,corazones,6,diamantes,3,diamantes,5,treboles,J,pareja
diamantes,3,picas,J,corazones,5,treboles,6,treboles,J,pareja
diamantes,9,treboles,4,corazones,K,diamantes,Q,picas,1,no_hay_figura
corazones,5,diamantes,K,treboles,3,treboles,Q,treboles,8,no_hay_figura
treboles,8,diamantes,6,diamantes,K,picas,J,diamantes,1,no_hay_figura
corazones,1,diamantes,7,picas,7,treboles,3,diamantes,J,pareja
treboles,2,picas,Q,diamantes,J,diamantes,7,treboles,9,no_hay_figura
corazones,2,picas,10,corazones,9,treboles,8,diamantes,Q,no_hay_figura
treboles,5,picas,10,corazones,10,corazones,1,diamantes,1,doble_pareja
treboles,8,diamantes,10,diamantes,9,diamantes,Q,corazones,J,escalera
corazones,8,treboles,Q,picas,5,diamantes,3,picas,2,no_hay_figura
diamantes,4,corazones,K,picas,J,treboles,1,treboles,3,no_hay_figura
picas,3,diamantes,K,treboles,3,treboles,9,treboles,6,pareja
corazones,1,diamantes,8,treboles,5,picas,1,picas,J,pareja
corazones,1,corazones,Q,diamantes,J,diamantes,9,picas,J,pareja
corazones,K,treboles,4,picas,6,diamantes,3,picas,10,no_hay_figura
treboles,2,picas,1,corazones,10,corazones,7,treboles,Q,no_hay_figura
diamantes,1,corazones,4,picas,9,diamantes,10,picas,10,pareja
picas,2,corazones,2,diamantes,5,treboles,4,picas,3,pareja
picas,J,corazones,3,corazones,J,corazones,9,diamantes,K,pareja
diamantes,6,diamantes,J,treboles,1,diamantes,7,picas,10,no_hay_figura
corazones,9,treboles,8,picas,8,treboles,1,picas,3,pareja
diamantes,J,treboles,9,diamantes,Q,treboles,3,treboles,10,no_hay_figura
corazones,9,treboles,10,treboles,8,diamantes,9,corazones,1,pareja
corazones,4,diamantes,7,picas,4,corazones,3,diamantes,4,trio
treboles,9,diamantes,10,treboles,J,treboles,1,corazones,1,pareja
diamantes,8,treboles,3,corazones,3,corazones,10,corazones,1,pareja
picas,6,corazones,4,treboles,6,picas,1,diamantes,8,pareja
picas,Q,corazones,1,diamantes,Q,picas,K,treboles,J,pareja
corazones,2,treboles,4,treboles,8,corazones,K,corazones,10,no_hay_figura
corazones,2,diamantes,4,treboles,7,corazones,6,diamantes,5,no_hay_figura
picas,4,picas,6,picas,K,corazones,9,corazones,2,no_hay_figura
corazones,10,diamantes,1,treboles,9,picas,6,diamantes,5,no_hay_figura
treboles,J,treboles,3,treboles,K,diamantes,10,corazones,3,pareja
treboles,9,treboles,1,diamantes,3,diamantes,10,corazones,3,pareja
corazones,K,corazones,6,treboles,8,corazones,1,corazones,Q,no_hay_figura
picas,4,diamantes,1,picas,2,treboles,7,treboles,6,no_hay_figura
treboles,4,corazones,1,diamantes,3,diamantes,2,diamantes,10,no_hay_figura
picas,1,treboles,6,treboles,4,diamantes,K,corazones,8,no_hay_figura
treboles,3,treboles,1,corazones,8,diamantes,8,corazones,10,pareja
corazones,7,corazones,K,corazones,3,treboles,K,treboles,Q,pareja
picas,8,corazones,3,corazones,9,corazones,10,treboles,7,no_hay_figura
diamantes,1,treboles,J,diamantes,K,picas,8,picas,J,pareja
picas,10,picas,3,diamantes,8,diamantes,J,treboles,K,no_hay_figura
corazones,K,diamantes,7,diamantes,9,treboles,5,picas,9,pareja
corazones,J,corazones,K,diamantes,3,treboles,K,diamantes,8,pareja
corazones,4,diamantes,8,treboles,1,picas,3,picas,7,no_hay_figura
diamantes,5,corazones,9,picas,Q,picas,1,picas,8,no_hay_figura
treboles,3,corazones,Q,corazones,3,corazones,5,picas,2,pareja
corazones,7,diamantes,Q,corazones,9,treboles,5,diamantes,9,pareja
corazones,8,picas,1,diamantes,7,diamantes,5,treboles,8,pareja
treboles,10,corazones,3,diamantes,J,treboles,9,treboles,J,pareja
diamantes,7,picas,3,diamantes,6,diamantes,3,diamantes,J,pareja
treboles,K,treboles,7,corazones,7,corazones,6,corazones,1,pareja
picas,4,diamantes,8,corazones,4,corazones,2,diamantes,Q,pareja
diamantes,K,corazones,3,picas,K,treboles,9,diamantes,3,doble_pareja
treboles,Q,corazones,10,corazones,J,picas,7,diamantes,8,no_hay_figura
diamantes,4,diamantes,1,picas,9,treboles,1,corazones,10,pareja
picas,9,treboles,4,diamantes,3,treboles,7,treboles,Q,no_hay_figura
corazones,K,picas,9,diamantes,6,treboles,7,picas,K,pareja
corazones,3,corazones,10,picas,5,treboles,1,diamantes,J,no_hay_figura
corazones,5,corazones,K,diamantes,1,diamantes,9,treboles,5,pareja
diamantes,3,picas,7,picas,J,treboles,10,diamantes,8,no_hay_figura
corazones,K,treboles,J,picas,4,treboles,10,corazones,1,no_hay_figura
treboles,Q,corazones,10,picas,2,treboles,6,corazones,2,pareja
treboles,3,picas,8,treboles,9,diamantes,4,corazones,7,no_hay_figura
corazones,8,picas,2,corazones,4,corazones,7,corazones,1,no_hay_figura
diamantes,J,treboles,4,corazones,3,treboles,3,diamantes,2,pareja
picas,K,treboles,K,treboles,Q,corazones,9,corazones,5,pareja
picas,3,diamantes,1,corazones,Q,picas,9,picas,J,no_hay_figura
picas,1,picas,4,corazones,K,treboles,9,diamantes,1,pareja
corazones,6,picas,K,corazones,8,diamantes,Q,picas,9,no_hay_figura
treboles,2,picas,10,corazones,1,treboles,9,corazones,Q,no_hay_figura
corazones,3,picas,2,treboles,5,diamantes,J,diamantes,2,pareja
corazones,Q,picas,10,corazones,J,corazones,8,picas,6,no_hay_figura
picas,2,picas,J,treboles,1,treboles,5,picas,1,pareja
treboles,9,diamantes,Q,picas,7,diamantes,7,picas,6,pareja
picas,8,diamantes,1,picas,7,diamantes,10,treboles,7,pareja
diamantes,J,diamantes,5,picas,J,corazones,6,diamantes,9,pareja
diamantes,4,diamantes,9,diamantes,Q,treboles,9,picas,Q,doble_pareja
corazones,4,treboles,Q,diamantes,1,picas,2,treboles,6,no_hay_figura
diamantes,Q,treboles,2,treboles,3,diamantes,7,corazones,2,pareja
treboles,8,corazones,7,corazones,9,corazones,6,diamantes,1,no_hay_figura
corazones,8,diamantes,J,diamantes,Q,picas,5,picas,2,no_hay_figura
corazones,10,diamantes,5,treboles,Q,diamantes,3,corazones,Q,pareja
diamantes,2,treboles,10,corazones,K,diamantes,J,corazones,4,no_hay_figura
corazones,8,picas,3,treboles,1,corazones,4,corazones,K,no_hay_figura
treboles,8,picas,4,diamantes,9,diamantes,8,picas,7,pareja
picas,2,picas,J,treboles,7,treboles,J,picas,5,pareja
treboles,J,diamantes,2,treboles,9,picas,2,corazones,10,pareja
treboles,8,treboles,5,treboles,1,corazones,7,diamantes,J,no_hay_figura
diamantes,Q,treboles,6,treboles,7,treboles,3,corazones,9,no_hay_figura
corazones,5,treboles,K,diamantes,3,corazones,10,treboles,Q,no_hay_figura
diamantes,3,corazones,10,treboles,J,corazones,K,treboles,1,no_hay_figura
picas,4,corazones,10,treboles,5,treboles,1,treboles,4,pareja
corazones,4,picas,2,picas,Q,corazones,2,diamantes,Q,doble_pareja
corazones,6,picas,1,picas,8,treboles,6,corazones,5,pareja
corazones,9,picas,1,diamantes,3,picas,4,diamantes,5,no_hay_figura
treboles,K,picas,9,treboles,10,diamantes,K,picas,8,pareja
corazones,5,picas,Q,corazones,Q,treboles,7,treboles,6,pareja
picas,3,diamantes,J,diamantes,7,corazones,10,diamantes,Q,no_hay_figura
corazones,6,picas,2,picas,1,treboles,J,diamantes,5,no_hay_figura
treboles,4,treboles,10,picas,Q,picas,K,picas,J,no_hay_figura
picas,8,treboles,2,picas,3,treboles,8,picas,J,pareja
picas,7,treboles,7,treboles,Q,diamantes,1,picas,5,pareja
diamantes,1,picas,10,corazones,Q,corazones,K,corazones,4,no_hay_figura
picas,5,treboles,4,corazones,9,treboles,7,corazones,K,no_hay_figura
treboles,6,treboles,8,diamantes,3,diamantes,4,diamantes,8,pareja
treboles,8,corazones,5,corazones,8,corazones,6,picas,2,pareja
corazones,J,corazones,1,picas,1,diamantes,10,treboles,4,pareja
diamantes,K,diamantes,1,treboles,7,picas,3,corazones,1,pareja
picas,6,picas,1,corazones,5,treboles,8,corazones,9,no_hay_figura
diamantes,2,treboles,K,diamantes,6,corazones,2,picas,9,pareja
picas,3,picas,5,treboles,Q,corazones,7,treboles,4,no_hay_figura
diamantes,1,treboles,2,diamantes,2,picas,1,picas,7,doble_pareja
corazones,Q,treboles,4,treboles,1,picas,8,picas,5,no_hay_figura
picas,4,picas,6,diamantes,9,treboles,J,diamantes,6,pareja
corazones,6,treboles,K,diamantes,3,corazones,1,corazones,K,pareja
corazones,3,treboles,7,treboles,Q,treboles,3,treboles,2,pareja
treboles,3,diamantes,Q,diamantes,6,corazones,5,treboles,4,no_hay_figura
picas,2,treboles,2,corazones,4,treboles,6,treboles,8,pareja
diamantes,8,corazones,7,corazones,6,diamantes,K,corazones,Q,no_hay_figura
picas,Q,diamantes,2,picas,5,treboles,10,treboles,7,no_hay_figura
diamantes,6,treboles,2,corazones,8,diamantes,9,treboles,Q,no_hay_figura
diamantes,7,corazones,4,corazones,5,treboles,Q,treboles,5,pareja
corazones,J,diamantes,6,diamantes,10,corazones,1,picas,2,no_hay_figura
picas,3,corazones,Q,treboles,5,corazones,9,corazones,5,pareja
treboles,1,diamantes,Q,treboles,5,picas,4,corazones,6,no_hay_figura
picas,Q,corazones,4,treboles,7,treboles,5,treboles,6,no_hay_figura
corazones,7,diamantes,3,picas,4,treboles,K,corazones,2,no_hay_figura
diamantes,Q,diamantes,6,treboles,2,diamantes,8,treboles,Q,pareja
picas,3,treboles,6,picas,2,treboles,5,corazones,9,no_hay_figura
diamantes,K,diamantes,5,treboles,J,picas,4,corazones,J,pareja
picas,K,diamantes,5,picas,Q,picas,7,corazones,J,no_hay_figura
corazones,9,corazones,6,diamantes,1,picas,9,diamantes,8,pareja
picas,6,picas,3,picas,K,corazones,8,corazones,J,no_hay_figura
diamantes,7,treboles,6,corazones,1,corazones,10,diamantes,4,no_hay_figura
corazones,10,treboles,Q,corazones,Q,diamantes,5,corazones,5,doble_pareja
corazones,1,diamantes,Q,corazones,9,picas,8,diamantes,9,pareja
picas,Q,diamantes,1,corazones,1,diamantes,K,corazones,2,pareja
treboles,10,corazones,10,corazones,6,diamantes,Q,corazones,3,pareja
corazones,4,corazones,J,treboles,J,treboles,5,picas,6,pareja
corazones,10,diamantes,10,treboles,1,picas,5,picas,2,pareja
corazones,9,treboles,9,picas,K,diamantes,9,corazones,8,trio
corazones,1,treboles,4,corazones,6,picas,9,corazones,2,no_hay_figura
diamantes,4,corazones,9,corazones,7,treboles,J,diamantes,3,no_hay_figura
treboles,6,treboles,5,picas,K,picas,8,treboles,8,pareja
corazones,6,picas,7,corazones,Q,treboles,J,diamantes,3,no_hay_figura
treboles,1,treboles,8,corazones,K,treboles,10,diamantes,2,no_hay_figura
treboles,7,corazones,10,corazones,7,picas,1,picas,10,doble_pareja
treboles,6,corazones,5,corazones,7,diamantes,Q,corazones,3,no_hay_figura
corazones,10,corazones,7,picas,Q,picas,J,picas,K,no_hay_figura
picas,8,picas,10,diamantes,9,picas,4,picas,1,no_hay_figura
treboles,10,corazones,5,picas,2,treboles,3,picas,10,pareja
treboles,9,corazones,2,corazones,K,treboles,K,diamantes,5,pareja
treboles,9,picas,2,corazones,Q,treboles,2,treboles,7,pareja
treboles,8,treboles,3,treboles,J,corazones,10,corazones,8,pareja
picas,6,diamantes,J,diamantes,Q,diamantes,5,diamantes,6,pareja
picas,4,corazones,1,corazones,9,corazones,2,treboles,6,no_hay_figura
picas,1,diamantes,9,diamantes,10,diamantes,Q,picas,K,no_hay_figura
treboles,7,corazones,1,corazones,3,picas,9,corazones,8,no_hay_figura
picas,5,picas,6,corazones,9,picas,2,treboles,10,no_hay_figura
treboles,3,diamantes,1,treboles,1,diamantes,3,picas,1,full
diamantes,2,corazones,6,picas,5,picas,7,corazones,1,no_hay_figura
picas,2,corazones,5,picas,3,treboles,K,picas,J,no_hay_figura
treboles,Q,diamantes,9,treboles,K,picas,6,treboles,9,pareja
treboles,9,corazones,J,picas,1,diamantes,5,treboles,7,no_hay_figura
picas,J,corazones,10,picas,9,diamantes,8,treboles,J,pareja
picas,10,treboles,Q,diamantes,4,corazones,8,treboles,1,no_hay_figura
picas,3,picas,2,picas,7,diamantes,7,diamantes,J,pareja
diamantes,8,diamantes,5,diamantes,6,corazones,2,picas,1,no_hay_figura
corazones,J,treboles,5,treboles,K,corazones,4,diamantes,Q,no_hay_figura
corazones,J,picas,4,diamantes,K,corazones,1,treboles,4,pareja
picas,J,picas,9,picas,6,corazones,5,diamantes,Q,no_hay_figura
corazones,J,corazones,4,treboles,3,corazones,Q,corazones,K,no_hay_figura
diamantes,K,diamantes,6,diamantes,2,corazones,10,treboles,K,pareja
treboles,1,corazones,10,diamantes,7,treboles,Q,diamantes,10,pareja
picas,4,diamantes,J,treboles,1,picas,7,diamantes,1,pareja
diamantes,10,diamantes,4,corazones,6,picas,6,diamantes,Q,pareja
treboles,1,corazones,K,treboles,8,diamantes,5,corazones,3,no_hay_figura
diamantes,9,picas,6,picas,8,treboles,8,corazones,3,pareja
corazones,Q,treboles,4,corazones,9,treboles,K,diamantes,Q,pareja
picas,K,treboles,4,diamantes,8,diamantes,9,treboles,3,no_hay_figura
diamantes,K,diamantes,2,diamantes,8,picas,Q,corazones,Q,pareja
diamantes,Q,treboles,5,picas,K,corazones,2,corazones,K,pareja
picas,10,corazones,9,picas,3,picas,Q,diamantes,J,no_hay_figura
diamantes,9,picas,2,picas,7,treboles,4,diamantes,Q,no_hay_figura
diamantes,2,corazones,6,diamantes,J,diamantes,1,corazones,J,pareja
treboles,K,diamantes,7,picas,8,treboles,9,treboles,10,no_hay_figura
picas,6,picas,1,diamantes,K,diamantes,5,diamantes,10,no_hay_figura
picas,5,treboles,4,corazones,9,diamantes,9,treboles,Q,pareja
corazones,4,diamantes,7,picas,K,corazones,8,corazones,2,no_hay_figura
diamantes,K,treboles,2,corazones,7,picas,10,corazones,4,no_hay_figura
corazones,J,picas,Q,picas,7,treboles,Q,treboles,J,doble_pareja
diamantes,3,picas,5,picas,6,picas,3,picas,2,pareja
treboles,1,diamantes,6,treboles,K,corazones,5,picas,9,no_hay_figura
treboles,K,treboles,J,picas,6,corazones,7,treboles,Q,no_hay_figura
picas,6,picas,8,treboles,Q,corazones,9,treboles,9,pareja
corazones,4,diamantes,9,diamantes,5,treboles,10,diamantes,4,pareja
corazones,10,corazones,6,corazones,Q,diamantes,10,treboles,9,pareja
corazones,5,treboles,4,diamantes,6,diamantes,5,treboles,10,pareja
treboles,5,corazones,10,diamantes,2,corazones,4,picas,5,pareja
picas,Q,picas,7,diamantes,8,picas,1,diamantes,Q,pareja
diamantes,8,picas,4,picas,K,treboles,K,diamantes,2,pareja
corazones,K,treboles,1,treboles,5,diamantes,6,diamantes,3,no_hay_figura
treboles,6,picas,1,picas,J,treboles,9,diamantes,8,no_hay_figura
treboles,5,picas,3,diamantes,2,picas,10,diamantes,9,no_hay_figura
picas,4,corazones,4,diamantes,4,picas,1,treboles,10,trio
treboles,8,corazones,J,corazones,K,corazones,5,treboles,2,no_hay_figura
treboles,6,corazones,2,diamantes,7,treboles,9,treboles,8,no_hay_figura
treboles,10,picas,6,corazones,6,treboles,9,diamantes,8,pareja
corazones,8,treboles,Q,corazones,K,treboles,8,treboles,K,doble_pareja
picas,3,treboles,5,diamantes,9,picas,5,treboles,4,pareja
corazones,5,diamantes,4,diamantes,6,treboles,J,diamantes,9,no_hay_figura
picas,3,picas,K,corazones,4,diamantes,8,corazones,9,no_hay_figura
treboles,3,corazones,7,corazones,5,diamantes,1,diamantes,4,no_hay_figura
diamantes,K,corazones,2,corazones,1,picas,4,corazones,10,no_hay_figura
picas,1,treboles,10,picas,3,corazones,Q,picas,4,no_hay_figura
diamantes,4,picas,K,corazones,3,picas,10,treboles,1,no_hay_figura
picas,2,diamantes,6,diamantes,3,diamantes,4,treboles,2,pareja
diamantes,9,picas,K,picas,5,corazones,Q,corazones,10,no_hay_figura
picas,5,picas,7,diamantes,Q,diamantes,10,picas,6,no_hay_figura
diamantes,2,treboles,Q,corazones,9,treboles,3,diamantes,9,pareja
picas,K,picas,10,treboles,3,treboles,1,treboles,7,no_hay_figura
diamantes,9,corazones,3,diamantes,1,treboles,2,diamantes,6,no_hay_figura
diamantes,10,picas,1,diamantes,Q,treboles,10,diamantes,9,pareja
picas,1,corazones,3,diamantes,2,diamantes,4,corazones,1,pareja
picas,1,diamantes,4,treboles,6,diamantes,Q,treboles,K,no_hay_figura
picas,6,treboles,K,diamantes,9,picas,K,corazones,10,pareja
picas,J,treboles,K,treboles,5,treboles,10,diamantes,6,no_hay_figura
diamantes,6,treboles,10,diamantes,2,treboles,1,treboles,4,no_hay_figura
treboles,7,corazones,Q,treboles,9,picas,5,treboles,Q,pareja
corazones,2,diamantes,5,picas,4,diamantes,8,corazones,9,no_hay_figura
diamantes,3,diamantes,7,corazones,8,treboles,8,corazones,9,pareja
corazones,10,corazones,5,diamantes,7,diamantes,1,corazones,J,no_hay_figura
diamantes,J,corazones,K,treboles,10,diamantes,2,picas,7,no_hay_figura
corazones,3,corazones,8,diamantes,6,corazones,7,treboles,J,no_hay_figura
picas,2,treboles,7,treboles,8,diamantes,9,corazones,8,pareja
corazones,4,corazones,10,picas,1,picas,7,treboles,4,pareja
treboles,J,picas,8,diamantes,2,diamantes,5,diamantes,1,no_hay_figura
picas,K,corazones,10,treboles,7,picas,9,diamantes,6,no_hay_figura
picas,2,corazones,7,diamantes,K,diamantes,8,picas,4,no_hay_figura
diamantes,J,treboles,1,corazones,1,corazones,Q,diamantes,K,pareja
diamantes,4,treboles,K,treboles,8,treboles,4,picas,9,pareja
picas,6,picas,2,corazones,7,treboles,1,picas,8,no_hay_figura
picas,10,diamantes,1,corazones,3,diamantes,2,corazones,2,pareja
treboles,4,picas,5,corazones,8,diamantes,J,diamantes,5,pareja
picas,7,diamantes,1,diamantes,6,corazones,3,treboles,4,no_hay_figura
corazones,7,diamantes,5,diamantes,3,corazones,3,treboles,4,pareja
corazones,4,picas,Q,treboles,Q,diamantes,6,diamantes,3,pareja
treboles,6,corazones,J,diamantes,2,picas,10,corazones,6,pareja
treboles,6,corazones,6,treboles,1,picas,4,treboles,10,pareja
diamantes,6,picas,7,treboles,4,diamantes,1,picas,K,no_hay_figura
corazones,J,corazones,1,treboles,7,picas,2,diamantes,K,no_hay_figura
treboles,9,treboles,4,diamantes,3,treboles,8,diamantes,5,no_hay_figura
diamantes,3,corazones,Q,diamantes,10,corazones,9,corazones,2,no_hay_figura
diamantes,9,treboles,6,picas,9,diamantes,4,treboles,8,pareja
picas,1,picas,3,corazones,Q,corazones,1,treboles,6,pareja
corazones,4,treboles,10,diamantes,1,diamantes,9,diamantes,K,no_hay_figura
corazones,2,picas,7,diamantes,K,corazones,1,diamantes,5,no_hay_figura
picas,2,treboles,Q,treboles,1,picas,3,corazones,K,no_hay_figura
picas,6,picas,J,diamantes,5,corazones,4,corazones,K,no_hay_figura
corazones,4,treboles,K,treboles,9,picas,1,picas,J,no_hay_figura
corazones,4,treboles,3,corazones,J,corazones,5,corazones,9,no_hay_figura
treboles,6,picas,9,picas,8,diamantes,8,corazones,7,pareja
corazones,1,corazones,10,corazones,9,diamantes,3,corazones,J,no_hay_figura
corazones,5,corazones,1,picas,6,corazones,J,treboles,7,no_hay_figura
picas,1,picas,9,picas,6,corazones,8,corazones,2,no_hay_figura
treboles,Q,treboles,3,treboles,5,treboles,7,corazones,4,no_hay_figura
corazones,2,corazones,7,diamantes,9,diamantes,3,diamantes,1,no_hay_figura
picas,2,diamantes,4,picas,3,treboles,3,corazones,3,trio
picas,K,corazones,7,diamantes,8,diamantes,6,diamantes,10,no_hay_figura
diamantes,K,treboles,4,picas,8,treboles,9,treboles,10,no_hay_figura
picas,10,picas,6,picas,K,picas,5,treboles,7,no_hay_figura
corazones,J,diamantes,3,picas,1,treboles,1,corazones,3,doble_pareja
diamantes,2,diamantes,10,treboles,7,picas,3,diamantes,4,no_hay_figura
diamantes,J,diamantes,7,treboles,9,corazones,7,diamantes,5,pareja
picas,1,diamantes,J,diamantes,3,corazones,Q,treboles,1,pareja
picas,10,corazones,7,picas,8,treboles,6,picas,K,no_hay_figura
corazones,5,picas,9,diamantes,9,picas,5,treboles,3,doble_pareja
picas,9,corazones,2,treboles,9,treboles,K,corazones,6,pareja
treboles,4,diamantes,8,corazones,K,treboles,Q,diamantes,4,pareja
diamantes,10,treboles,J,diamantes,9,picas,9,diamantes,3,pareja
diamantes,9,corazones,2,treboles,J,treboles,5,picas,5,pareja
diamantes,8,picas,2,treboles,Q,corazones,9,diamantes,7,no_hay_figura
diamantes,9,corazones,7,picas,7,treboles,4,picas,2,pareja
diamantes,J,treboles,4,picas,10,picas,8,corazones,3,no_hay_figura
corazones,8,corazones,J,corazones,Q,treboles,3,diamantes,10,no_hay_figura
corazones,7,diamantes,Q,treboles,6,diamantes,5,corazones,9,no_hay_figura
diamantes,9,corazones,4,picas,2,picas,J,corazones,1,no_hay_figura
treboles,3,corazones,3,diamantes,9,picas,2,corazones,9,doble_pareja
treboles,9,treboles,4,diamantes,K,corazones,9,picas,4,doble_pareja
diamantes,3,picas,1,corazones,6,diamantes,10,corazones,2,no_hay_figura
treboles,K,corazones,3,picas,J,corazones,2,diamantes,2,pareja
corazones,K,treboles,8,picas,10,corazones,6,diamantes,Q,no_hay_figura
picas,7,picas,3,corazones,Q,picas,5,diamantes,6,no_hay_figura
treboles,6,diamantes,4,picas,3,corazones,9,corazones,3,pareja
treboles,2,diamantes,5,diamantes,1,picas,1,treboles,6,pareja
treboles,10,corazones,8,treboles,Q,corazones,3,picas,5,no_hay_figura
treboles,3,diamantes,10,corazones,5,treboles,K,picas,J,no_hay_figura
treboles,3,picas,Q,treboles,10,diamantes,8,treboles,5,no_hay_figura
treboles,J,picas,10,treboles,10,diamantes,6,treboles,K,pareja
picas,1,diamantes,8,diamantes,J,diamantes,5,corazones,2,no_hay_figura
picas,1,treboles,9,picas,7,treboles,3,picas,10,no_hay_figura
diamantes,1,treboles,J,corazones,3,diamantes,K,picas,4,no_hay_figura
corazones,K,corazones,4,picas,10,corazones,1,treboles,4,pareja
picas,5,corazones,Q,picas,6,picas,2,corazones,J,no_hay_figura
corazones,9,corazones,K,diamantes,7,picas,3,picas,2,no_hay_figura
diamantes,5,treboles,6,picas,4,picas,5,treboles,5,trio
diamantes,6,treboles,3,picas,8,picas,4,picas,9,no_hay_figura
treboles,K,corazones,8,diamantes,J,corazones,7,treboles,9,no_hay_figura
treboles,2,picas,J,diamantes,4,treboles,7,corazones,Q,no_hay_figura
diamantes,4,treboles,1,corazones,Q,diamantes,5,diamantes,J,no_hay_figura
treboles,J,picas,6,treboles,7,treboles,4,diamantes,Q,no_hay_figura
picas,7,picas,1,corazones,2,diamantes,2,picas,J,pareja
diamantes,10,picas,K,diamantes,3,corazones,3,corazones,9,pareja
picas,1,treboles,2,diamantes,10,corazones,8,treboles,4,no_hay_figura
diamantes,J,picas,3,corazones,K,corazones,1,treboles,J,pareja
picas,1,diamantes,2,diamantes,4,diamantes,6,treboles,K,no_hay_figura
corazones,6,corazones,Q,picas,2,treboles,2,treboles,7,pareja
corazones,8,diamantes,8,diamantes,6,corazones,K,treboles,Q,pareja
treboles,Q,treboles,9,treboles,10,diamantes,4,corazones,1,no_hay_figura
picas,9,picas,10,corazones,1,corazones,9,treboles,10,doble_pareja
treboles,1,diamantes,9,treboles,3,picas,4,corazones,10,no_hay_figura
treboles,8,treboles,10,picas,6,corazones,6,diamantes,4,pareja
picas,K,picas,3,picas,J,picas,Q,corazones,1,no_hay_figura
diamantes,Q,treboles,9,treboles,10,picas,K,picas,9,pareja
treboles,9,picas,3,treboles,J,picas,1,picas,J,pareja
corazones,9,corazones,2,corazones,Q,treboles,8,diamantes,10,no_hay_figura
